"Officer.number";"Years.employed";"Age";"Officer.sex";"Officer.race";"Officer.department";"Officer.division";"Officer.sub.division.A";"Officer.sub.division.B"
"43";"3a289991381335a0fc94ad80f79fe88e";"41";"67";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"44";"4d4c1ad2286f1a7670a024467dd10808";"40";"60";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"45";"9df68a3a913f1efcc1ee23b4f1d66439";"40";"67";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"46";"d17ee83b24d91542bc3be4b61e80adc4";"64";"91";"F";"White";"Office of the Superintendant";"NULL";"NULL";"NULL"
"47";"d12fa881d1ea15550212c4587e29bdb8";"17";"68";"M";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"48";"80b0ae73fe0e882b0a24973e4e2c8203";"30";"56";"M";"Black / African American";"MSB - Management Service Bureau";"Superintendant's Budget Staff";"";""
"49";"754bc61780613e9dbb928b88e1e3d6f5";"47";"85";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"50";"9a6564e67167bff7e7cf99a541a641f1";"23";"108";"Unknown sex";"Unknown race";"NULL";"NULL";"NULL";"NULL"
"51";"5b64a41e0f2c1152e7945d518cec93aa";"22";"57";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"52";"58358dd2dcc33f743f22d1a7753b7ec0";"47";"76";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"53";"15865a3cff7594d62b7897f23fb27fa8";"23";"60";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"54";"192b298ed4661ab6d9a4a193b2e60b49";"19";"48";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"55";"8dcc9ab9194a962167360a4ff6bb6827";"29";"75";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"56";"57d435173cd01ba1272e9bbc2e1d0296";"24";"55";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"57";"2c45c8cf026c7d9bbf15d52f63c323ea";"32";"61";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"58";"22b237f09483940655e05981a6c3105e";"29";"54";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"59";"6cb0c41728b80235d1532f88c59ce9e6";"49";"72";"F";"Black / African American";"Office of the Superintendant";"NULL";"NULL";"NULL"
"60";"3e98cd61c0f0313ba5b0b2fa1a37a0ec";"36";"51";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"61";"3c751d122f0ba36ec8280d355e25b96e";"47";"73";"F";"Black / African American";"Compliance Bureau";"NULL";"NULL";"NULL"
"62";"e65288ab08a1f50a7e0e9a972d0cdad3";"39";"71";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"63";"5dfdba537fcd9880bb235099a0b2d71b";"41";"58";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"64";"3742cd671c7f6d482c2e7942eeb43346";"27";"49";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"65";"ac995caa44fcaf83bf6c073b43877857";"25";"64";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"66";"70907d9a2fe63b90036adda611231960";"23";"49";"M";"White";"NULL";"NULL";"NULL";"NULL"
"67";"262e00171252ad97820501c35c732e3d";"25";"72";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"68";"1b387a44b518030b040d524a5fa7e672";"24";"53";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"69";"4c1c7a82abdeabc37b73b2e8328302eb";"22";"46";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"70";"cc18eca3d186eb8772b9768990dcd2ea";"53";"78";"M";"White";"FOB - Field Operations Bureau";"Command Staff";"Admin";""
"71";"58f8415e0549358f3130fdf48d04df90";"16";"45";"F";"White";"NULL";"NULL";"NULL";"NULL"
"72";"19a336d14cac8032ba75a208e4125f1a";"9";"64";"F";"White";"NULL";"NULL";"NULL";"NULL"
"73";"e15efc0db45ebdee4bebbca843987014";"15";"37";"F";"White";"NULL";"NULL";"NULL";"NULL"
"74";"b2270462f2828b7ed3cf277c28b04401";"12";"38";"F";"White";"NULL";"NULL";"NULL";"NULL"
"75";"dc1d757c56fd15656b23102dc5f6727c";"13";"46";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"76";"d56c4f7c4ce276c7e47e1fa52e70d4b6";"10";"33";"M";"White";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Drugs"
"77";"6953b334169bd7ec7da1c1eda5aaf6a5";"16";"40";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"78";"6c3a3556917f12517be89f353d7b93ff";"23";"46";"M";"White";"NULL";"NULL";"NULL";"NULL"
"79";"376fd1e6227fbec1b4f0dfc602df8ac2";"15";"41";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"80";"e4ced46f028c228b02d106d874876fe8";"23";"48";"M";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"81";"f77ad541453410f4475d7e0c4fe3f16c";"19";"41";"F";"White";"NULL";"NULL";"NULL";"NULL"
"82";"c0599eaf8f88db0115df30870dfe20ec";"23";"48";"F";"White";"NULL";"NULL";"NULL";"NULL"
"83";"2af87dfdb66a77e47ec325e40c275f91";"23";"50";"M";"Black / African American";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Drugs"
"84";"1c109d9978bde65a1acfc72c837b33a2";"21";"46";"F";"White";"NULL";"NULL";"NULL";"NULL"
"85";"7ab69e3fecb682059d72baa68c4e8213";"23";"55";"M";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";""
"86";"8f5291d0e6a2a1a9fbb4c2bfdbf53f72";"16";"41";"F";"White";"NULL";"NULL";"NULL";"NULL"
"87";"9a586d281061fc931108e089579dd0fa";"13";"39";"F";"White";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"88";"14d3f5f7a5db7cc82fe34966c99712bc";"48";"74";"M";"White";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"89";"e444a32cd8c806b12b8baff9696a342f";"22";"54";"M";"Asian / Pacific Islander";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Drugs"
"90";"61cfd76d5a3568255886c537a793ea5a";"45";"76";"M";"White";"NULL";"NULL";"NULL";"NULL"
"91";"6df7b5c5831fffc7cbce9a00d0cf40b3";"35";"49";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"92";"be38593212fa16b5a5be0a47ad23db30";"20";"37";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";""
"93";"e1c87205446e1c8cc10879d9851cd008";"35";"58";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"94";"ea0bb59a602a20e8b227d3dfb8bdc698";"28";"48";"F";"Black / African American";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Admin"
"95";"8636eeb2cc941c94ef05c8b79cde15fa";"25";"75";"F";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"96";"c573cfd6ff802932578f5a94dbb38a79";"50";"73";"M";"White";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Drugs"
"97";"c6df9ff55bfad3fa7254de0d17b5a7f5";"19";"42";"F";"White";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Firearms"
"98";"b67babb4a76e89b72ff6f1ad5a4a36fe";"46";"69";"M";"White";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Drugs"
"99";"f120166a24c1bd7b43a32da9dd0bf6ec";"47";"67";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"100";"5d6e7fe43b3b73e5fd2961d5162486fa";"21";"46";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"101";"a3d23ed0f2dcc23bddbb34fd8ae81697";"34";"51";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"102";"cd5b378492e3bce4b69e74ab1b495779";"37";"54";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"103";"9f3af3a444929c38802fc78db1433a8c";"16";"43";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"104";"bd15e8575c605a44f323d2c67cbfd7f1";"15";"54";"M";"Black / African American";"MSB - Management Service Bureau";"Records & Identification / Support Services Divisi";"Support Services";"Electronics Section"
"105";"a7f7cec46d9e1398c6bb0b72351f3eab";"46";"66";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"106";"a9e14dbfeff6e00aa61c853c0bfe5770";"51";"80";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"107";"2ebc360474e27783ccebf2ff342350b0";"22";"41";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"108";"a8be04950d41d60d811755d295b8d93d";"45";"63";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"109";"6bd2186d41f1011520ab49024c67545d";"25";"71";"M";"Black / African American";"MSB - Management Service Bureau";"Records & Identification / Support Services Divisi";"Support Services";"Risk Management Section"
"110";"f3db7d6f57dd837661ceba124833d3f6";"15";"52";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"111";"6ab3d402d9b22801ab4fb94ef4e63b1d";"20";"58";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"112";"be061c8c4c028f11b48ab27cc2325ce3";"42";"64";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"113";"0cc62a4994b375381aa63224be43a143";"37";"67";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"114";"0bc72cabae0bf26cffc8292ef3a3e550";"35";"61";"M";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"115";"617fda9d6ddf6d44649a723cbb0b2df7";"31";"69";"M";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"116";"e6c63b6571d445697f2c2e2089fe7fa4";"32";"65";"M";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"117";"300765b677e4523d90469e817b51645a";"49";"70";"M";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"118";"b753cc10f946235ddc6b12d579d439f4";"50";"68";"F";"White";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"119";"f05f4aab106244d23156417cdae8f6f7";"52";"77";"F";"White";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"120";"3850746911bb492c8445964365202c5b";"25";"69";"F";"White";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"121";"42d50c90c6f441065058e3d3062046d6";"48";"80";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"122";"dbbf193f8ceb3f184b9e99dae459cfe3";"49";"82";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"123";"bc05d7bb98c91956bb9882c8c4b83de9";"51";"79";"F";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"124";"aa2ddffdd784bf2cdec19f719c582cf5";"22";"64";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"125";"6a1dca2c6b2f514020bab5e8d3dab503";"25";"57";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"126";"1c61ffeb3d95d457be6310c4a4d5b996";"39";"58";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"127";"ef9a5066680b66ce8ae25c2560e99566";"16";"42";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"128";"8be43fec0a00435caafbff978ae36f8f";"16";"45";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"129";"125d7519071575f4c5611228dfc79364";"19";"44";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"130";"bbf77ebc365ea5855142ed8da3c87cf6";"22";"48";"F";"Hispanic";"NULL";"NULL";"NULL";"NULL"
"131";"9a9c69f0e6a752abcaf253893a2f8efc";"15";"41";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"132";"319a0ebaed1dd330838238a077d60c6d";"17";"50";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"133";"1a4455c01b540fc7c17e995851c08a08";"23";"56";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"134";"43a2322397816921d4ccfc4a51926475";"14";"108";"Unknown sex";"Unknown race";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"135";"0e46059b88bf0f9e692581138ec1ad01";"18";"48";"F";"Black / African American";"FOB - Field Operations Bureau";"Alternative Police Response";"";""
"136";"8d11f0050fba91e85a282b3f47da15c7";"23";"56";"F";"Black / African American";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Juvenile Section";"2nd Platoon"
"137";"9cc06694685fdbd3712e11a270312a58";"31";"52";"M";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"138";"95165e962fcd6726c30ae3b4fb1a9322";"32";"47";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"139";"6ab59a5dc548cdbe65a353f73043f412";"11";"45";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"140";"bfc11d0fe85d8e3038dc8efe8787392c";"22";"55";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"141";"e064b40c9ca28b04b874bcd8bdefa41e";"31";"53";"F";"Black / African American";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Juvenile Section";"3rd Platoon"
"142";"3b6d002135d8d45a3c5f4a9fb857c323";"22";"62";"F";"Hispanic";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"143";"aa25b964f4d019806742b9058e67e53b";"14";"51";"F";"Black / African American";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Juvenile Section";"1st Platoon"
"144";"44865f1c212fb27ca7ab5b7154dcf398";"22";"46";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"145";"9b62f2a6db90cda54a00c9ad91c49168";"19";"62";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"146";"af0611ea4095097826b290ff37c0ac86";"31";"67";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"147";"78f799aab6957dffdfd2bfb504f8cab5";"32";"59";"F";"Black / African American";"MSB - Management Service Bureau";"Superintendant's Budget Staff";"";""
"148";"d541e22dc903b2f1eb25cbd14ff722ee";"30";"77";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"149";"fc57f0959ca851066dad9b18b9f0fa0c";"48";"78";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"150";"2bbdc9479e5ddf03425adc57599af655";"47";"80";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"151";"d3b22cffbbeea4aaf9ad934f82a9c025";"21";"84";"M";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"152";"e2e3e3b5b0a61e12ba90103a8f7169f7";"32";"49";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"153";"e28cae67011ff508866b2532a8d70d42";"22";"47";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"154";"4013bdc133cf3a31e077fa0410d3b6f5";"21";"48";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"155";"aa46ec0eda6b9268581f7b6334fe5368";"20";"58";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"156";"af3c491d215df7ac4778c043c2d1bf03";"19";"43";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"157";"4e8a0ea7b74d4bf3c9423eead25cfbd9";"17";"48";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"158";"7a859a24724fae9872489cbaa887f753";"18";"46";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"159";"a26bbb0ce133c97525563e617cac8f52";"18";"41";"F";"White";"NULL";"NULL";"NULL";"NULL"
"160";"792b4f532c5d212d902d88d6c96f7e9c";"22";"65";"M";"Asian / Pacific Islander";"NULL";"NULL";"NULL";"NULL"
"161";"e9def2df74a7a2f9b00e8dfadbd1ce6e";"21";"45";"F";"White";"NULL";"NULL";"NULL";"NULL"
"162";"1860ca1e262ddff3c9e57f8c3e65c113";"19";"46";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"163";"11696f02468541ec69fb6baba1daae66";"20";"54";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"164";"09b7c5f2db0f3079ce4979b5a75e4a45";"22";"50";"F";"White";"NULL";"NULL";"NULL";"NULL"
"165";"446677ea144f6d0c1fb8cd9516e0f9e3";"18";"108";"Unknown sex";"Unknown race";"NULL";"NULL";"NULL";"NULL"
"166";"e0fd6e666e9f337483a46de3880e76f0";"20";"45";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"167";"cb8174f734cadd66950e79b53599d019";"23";"51";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"168";"242f3fe311473815db79235ff6708bde";"20";"49";"F";"Black / African American";"FOB - Field Operations Bureau";"First District";"Staff";"NULL"
"169";"98616fd038a28bd3aac2db8f903ebb2d";"23";"47";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"170";"caa8d8cfd1d95f769aa613f35a4245d5";"21";"55";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"171";"830e946fdd8037512e29e4c2fe7ca93f";"18";"41";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"172";"9564c75e11688d755ea80e5758c6a0ef";"20";"48";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"173";"8c2afe893b01f3a8c63e1aef3b5aad9e";"42";"66";"M";"White";"Office of the Superintendant";"Technology Section";"Administration";""
"174";"f897c0fa1fb9ce59b8fba3637e930651";"15";"59";"F";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"175";"ed195206b77fdf687961e3fa4d671e19";"25";"76";"F";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"176";"10ed7b15ca812930d29ea06c2edde7ef";"47";"72";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"177";"28e5ae5d48ceecbe905cc32952648765";"25";"60";"M";"White";"MSB - Management Service Bureau";"Budget Services";"Grants Administration Section";""
"178";"7c51505b2b0fcd158afdb465711ecc75";"41";"63";"F";"Black / African American";"MSB - Management Service Bureau";"Budget Services";"Grants Administration Section";""
"179";"3ff12c1fbc0a9de0bfd8fe289b511a37";"29";"70";"F";"Black / African American";"MSB - Management Service Bureau";"Budget Services";"Personnel Division";""
"180";"48139aad2994737e7e801156a24281ed";"19";"46";"F";"Black / African American";"MSB - Management Service Bureau";"Budget Services";"Fiscal / Criminal Justice";""
"181";"f50e683f6447aa4f0cbaaf6862f27934";"22";"61";"F";"Black / African American";"MSB - Management Service Bureau";"Budget Services";"Grants Administration Section";""
"182";"3f2bf0c56a59718c098f28fbc5f84c68";"36";"71";"F";"Black / African American";"MSB - Management Service Bureau";"Superintendant's Budget Staff";"";""
"183";"9e13926505f026ba03c475b3a83f7a04";"29";"58";"M";"White";"MSB - Management Service Bureau";"Budget Services";"Fiscal / Criminal Justice";""
"184";"3bb12916e7f6fda4645dd4ecaedb76b9";"40";"66";"F";"Black / African American";"ISB - Investigations and Support Bureau";"Special Investigations Division";"Intelligence Section";""
"185";"91f93ee64d741dc511f5a948bd5004da";"21";"49";"M";"Black / African American";"MSB - Management Service Bureau";"Superintendant's Budget Staff";"";""
"186";"3c9f3a7a14786e414122855e84509f9d";"22";"68";"F";"Black / African American";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Juvenile Section";"4rd Platoon"
"187";"0e07be887155e57ccbb0007d0b0704af";"36";"71";"M";"Black / African American";"MSB - Management Service Bureau";"Budget Services";"Fiscal / Criminal Justice";""
"188";"fa342c2b19432380e6129ce1f02fc20e";"15";"46";"F";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"189";"a6e8462a7cace5673e544d1e8d238b52";"49";"66";"F";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"190";"525d73b4c5528794642ceb4dd9f987c2";"39";"64";"F";"White";"MSB - Management Service Bureau";"Budget Services";"Fiscal / Criminal Justice";""
"191";"4db0d56610aefad993e7007d4340c4c5";"35";"67";"F";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"192";"9e4c3a7fe2fc689e09900a6b12e93871";"25";"47";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
