"id","occurredDate","division","district","shift","beat","serviceType","source","allegationType","allegation","finding","residentRace","residentSex","residentAge","officerRace","officerSex","officerAge","officerYearsOfService","officerIdentifier"
"55ddbac873e215060c7cc105b28d902c","2015-09-03 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Crash Investigations Section","Accident Investigations Unit","Call for Service","CPCO (Informal)","Breach of Discipline","Failure to Improve Performance","Sustained","Black","Female","52","Black","Female","33","1","4b788833cb03a35328d6305860adde25"
"55ddbac873e215060c7cc105b28d902c","2015-09-03 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Crash Investigations Section","Accident Investigations Unit","Call for Service","CPCO (Informal)","Breach of Discipline","Having a Record of Repeated Violations","Sustained","Black","Female","52","Black","Female","33","1","4b788833cb03a35328d6305860adde25"
"a5470301f279019ee4bc6ce45161b497","2015-09-20 00:00:00","Operations Division","Northwest District","NW Middle Shift","","Call for Service","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","White","Female","66","White","Male","40","5","3122a34ac1fb6b8b65aa31c894b9963c"
"7a1999937297ada4f788171c4017de93","2015-09-02 00:00:00","Operations Division","North District","ND Late Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Unfounded","White","Male","29","White","Female","36","6","9c00d77817c7215fb25342d3d618bc58"
"7a1999937297ada4f788171c4017de93","2015-09-02 00:00:00","Operations Division","North District","ND Late Shift","","Investigation","CPCO (Formal)","Bias-Based Profiling","","Unfounded","White","Male","29","White","Female","36","6","9c00d77817c7215fb25342d3d618bc58"
"7a1999937297ada4f788171c4017de93","2015-09-02 00:00:00","Operations Division","North District","ND Late Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Unfounded","White","Male","29","White","Male","28","6","C8639299f781df7499de14772d3697ef"
"7a1999937297ada4f788171c4017de93","2015-09-02 00:00:00","Operations Division","North District","ND Late Shift","","Investigation","CPCO (Formal)","Bias-Based Profiling","","Unfounded","White","Male","29","White","Male","28","6","C8639299f781df7499de14772d3697ef"
"1bb3c7d551a89fe0e1d59142de1956ae","2015-09-26 00:00:00","Operations Division","East District","ED Middle Shift","","Call for Service","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Black","Male","57","White","Female","32","1","C85a8f06819f6ce5fbf0b686cc69e76f"
"1bb3c7d551a89fe0e1d59142de1956ae","2015-09-26 00:00:00","Operations Division","East District","ED Middle Shift","","Call for Service","CPCO (Formal)","Citizen Interaction","Indecent or Lewd Language","Exonerated","Black","Male","57","White","Female","32","1","C85a8f06819f6ce5fbf0b686cc69e76f"
"97d3be80f67deb06caa34df0cf72d5e5","2015-09-21 00:00:00","Operations Division","Southeast District","SE Middle Shift","","Off-Duty Employment","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Hispanic","Male","20","Hispanic","Male","33","7","0c22c64c5ebf8ba22207489c10f5818c"
"4d10dd9daa302271769643611093e8ab","2015-09-28 00:00:00","Operations Division","North District","ND Day Shift","Day Shift 2nd Rc","Call for Service","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Unfounded","White","Male","43","White","Female","52","26","8600b2604a21414e2bd8af1563822603"
"4d10dd9daa302271769643611093e8ab","2015-09-28 00:00:00","Operations Division","North District","ND Day Shift","Day Shift 2nd Rc","Call for Service","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Gestures","Unfounded","White","Male","43","Black","Male","55","11","Ccf07beb18e8eb076209a330ef629cc0"
"02dcd537d378fc22ac06603ffb114059","2015-09-10 00:00:00","Operations Division","Southeast District","SE Middle Shift","","Arrest","CPCO (Formal)","Use of Force","Unreasonable Force (Hands, Fists, Feet)","","White","Female","66","Black","Male","33","1","9e060ca9f924e9611853fda65b926e36"
"62dc38dbf2693d2a1d2310eb183e1d74","2015-09-18 00:00:00","Operations Division","Southeast District","SE Middle Shift","","Arrest","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","","White","Female","66","White","Male","34","6","6f8c6875f3c5fcd4c3b9b2a645931399"
"62dc38dbf2693d2a1d2310eb183e1d74","2015-09-18 00:00:00","Operations Division","Southeast District","SE Middle Shift","","Arrest","CPCO (Formal)","Use of Force","Unreasonable Force (Hands, Fists, Feet)","","White","Female","66","White","Male","34","6","6f8c6875f3c5fcd4c3b9b2a645931399"
"62dc38dbf2693d2a1d2310eb183e1d74","2015-09-18 00:00:00","Operations Division","Southeast District","SE Middle Shift","","Arrest","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","","White","Female","66","White","Male","40","14","16f03347e1de3ceb185f2c765e99362b"
"62dc38dbf2693d2a1d2310eb183e1d74","2015-09-18 00:00:00","Operations Division","Southeast District","SE Middle Shift","","Arrest","CPCO (Formal)","Use of Force","Unreasonable Force (Hands, Fists, Feet)","","White","Female","66","White","Male","40","14","16f03347e1de3ceb185f2c765e99362b"
"19cac094f606bd89ee2ee7b402b8ee5f","2015-10-09 00:00:00","Operations Division","North District","ND Late Shift","","Not Applicable","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Not Sustained","Unknown","Female","","Black","Male","55","24","Fb04486df315bcd3920d3026c30e3a09"
"075c505ebc8e14e62313a713363c6694","2015-10-12 00:00:00","Operations Division","Park Rangers","Park Ranger Section","Park Ranger Unit (Evening)","Not Applicable","CPCO (Informal)","Vehicle Operation","Speeding","Sustained","White","Male","","Black","Male","49","6","192bb7475e161f886be2eda2a54f54eb"
"0c856efeed3b733193a475b78b9054df","2015-09-29 00:00:00","Reserves","Platoon 4","Squad 1","","Not Applicable","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Not Sustained","White","Female","","White","Male","64","",""
"dd0a9ce0e2d4492a40a5fd2dd4844218","2015-09-26 00:00:00","Operations Division","East District","ED Late Shift","","Call for Service","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Black","Female","49","White","Female","34","9","701e7250823a11e9c99121835c699b52"
"2a46cda37ad9339df2adb4eb09e872ad","2015-09-17 00:00:00","Operations Division","East District","ED Middle Shift","","Traffic Stop","CPCO (Formal)","Citizen Interaction","","Exonerated","Black","Male","36","Black","Male","30","6","2670b51cabc09141d43293af63749b73"
"8f6ea6bb7a4274c44d2a70efdb97825e","2015-10-13 00:00:00","Criminal Investigation Division","Domestic & Sex Violence","Child Abuse Section","Child Abuse Unit","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Black","Female","49","White","Male","34","11","1a721841cf2aaf5995406102b846a469"
"74020aab8771e544e18d01bbba7c2716","2015-09-06 00:00:00","Operations Division","Southwest District","SW Late Shift","","Self-Initiated Activity","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Unknown","Male","","White","Male","33","1","65fe5e8befc49345dc1ccfc846c4acce"
"74020aab8771e544e18d01bbba7c2716","2015-09-06 00:00:00","Operations Division","Southwest District","SW Late Shift","","Self-Initiated Activity","CPCO (Informal)","Substandard Performance","Improper Towing of a Vehicle","Exonerated","Unknown","Male","","White","Male","33","1","65fe5e8befc49345dc1ccfc846c4acce"
"17e5a09c95f4d4e154479d37b2242e09","2015-09-17 00:00:00","Operations Division","Southwest District","SW Late Shift","","Traffic Stop","CPCO (Informal)","Substandard Performance","Act or Ommission Contrary to the Obectives of the Department","Exonerated","White","Male","","Black","Male","30","1","01dd1eed78ad9f13d298b331a54bc26e"
"17e5a09c95f4d4e154479d37b2242e09","2015-09-17 00:00:00","Operations Division","Southwest District","SW Late Shift","","Traffic Stop","CPCO (Informal)","Citizen Interaction","Improper Towing of a Vehicle","Exonerated","White","Male","","Black","Male","30","1","01dd1eed78ad9f13d298b331a54bc26e"
"8719368cfa21d2c74ffb417c20fbc57d","2015-09-01 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Traffic Enforcement Section","Traffic Enforcement Unit","Traffic Stop","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","White","Female","","White","Male","51","29","F7281f3389884cf740b2f29484edbb7f"
"b903fafb31f9ea1ac26f003ff00e060d","2015-10-19 00:00:00","Operations Division","Southwest District","SW Middle Shift","","Call for Service","CPCO (Formal)","Citizen Interaction","Failure to Make a Report When Approached by a Citizen","Not Sustained","White","Female","51","White","Male","29","5","330646080d3fe944c66cfc71729a6032"
"edc7fdf0398f3d24d10885f0e88cbabc","2015-09-10 00:00:00","Operations Division","East District","ED Middle Shift","","Call for Service","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Unknown","Female","","Black","Male","35","8","Eda549868a9fffa1e21d135dcebff5aa"
"3e3b82ed30b6f7b2bd61c82411a14536","2015-09-10 00:00:00","Operations Division","Downtown  District","DT Middle Shift","","Call for Service","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Unknown","Male","","White","Male","46","21","Dfb3bd4b6001d5dc1984127492827c56"
"4fe438c959d3def30ff1914e46680d16","2015-10-18 00:00:00","Operations Division","North District","ND Middle Shift","","Traffic Stop","CPCO (Formal)","Citizen Interaction","Intimidation/Improper Display of Police Authority","Exonerated","White","Male","35","Black","Male","30","1","F9de41acc2be28339be5da4f7144129e"
"890ce7e3747e1060d69283e639748edf","2015-10-23 00:00:00","Operations Division","East District","ED Middle Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Black","Female","50","White","Male","54","16","216b08cc46935c7a7e343a91a590b9b6"
"4d3f7e3fdf45cbd48d0ecccf55fe2454","2015-10-19 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Traffic Enforcement Section","Traffic Enforcement Unit","Traffic Stop","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","White","Female","35","White","Male","51","29","F7281f3389884cf740b2f29484edbb7f"
"14659abb16f9967ca9f928a0ac5568f2","2015-10-20 00:00:00","Operations Division","Southeast District","SE Middle Shift","","Not Applicable","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","White","Male","35","White","Male","64","39","885f72fac7aab58f447e0c90e911e999"
"f14a7e3ee127988ae1014f95d6f5c70b","2016-05-08 00:00:00","Operations Division","Southwest District","SW Day Shift","SW Day Shift","Investigation","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","","White","Male","55","White","Male","52","27","Ae5adcd6d9f4755d56568165018e1f5d"
"b8f1880e10760c35dbc59a96b593490e","2015-09-10 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Crash Investigations Section","Accident Investigations Unit","Call for Service","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","White","Male","74","Black","Female","33","1","4b788833cb03a35328d6305860adde25"
"b8f1880e10760c35dbc59a96b593490e","2015-09-10 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Crash Investigations Section","Accident Investigations Unit","Call for Service","CPCO (Informal)","Equipment and Uniforms","Inappropriate Uniform or Appearance","Not Sustained","White","Male","74","Black","Female","33","1","4b788833cb03a35328d6305860adde25"
"3a87fd7af4f9e594d92ae5a072149c21","2015-10-31 00:00:00","Operations Division","Operations Support","Public Assistance Officer Section","","Call for Service","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","","White","Male","46","White","Female","54","15","050c01400bb8ab3dd9fbb1ef86b147bb"
"3a87fd7af4f9e594d92ae5a072149c21","2015-10-31 00:00:00","Operations Division","Operations Support","Public Assistance Officer Section","","Call for Service","CPCO (Informal)","Substandard Performance","Failure to Complete an Incident Report When Necessary","","White","Male","46","White","Female","54","15","050c01400bb8ab3dd9fbb1ef86b147bb"
"46d24500ceacabfe7776991e83927de5","2015-11-02 00:00:00","Operations Division","East District","ED Late Shift","","Call for Service","CPCO (Formal)","Substandard Performance","Failure to Complete an Incident Report When Necessary","Not Sustained","White","Female","43","White","Male","42","16","0278f1505126caca7b7330a9092d5684"
"ca4ab2fb7746bf531e9ca5b29c79566c","2015-10-09 00:00:00","Administration Division","Training Bureau","Specialty Training Section","Specialty Training Unit","Not Applicable","CPCO (Informal)","Vehicle Operation","Texting While Driving","Not Sustained","Unknown","Male","","White","Male","38","14","Fd74777f02c16093b30f2c7d9a2d4b8e"
"3158ec416f4fba7de185ec9df8aae844","2015-11-04 00:00:00","Operations Division","North District","ND Middle Shift","","Call for Service","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Bi-Racial","Female","51","White","Male","25","1","Aa03cb945239192138d073ce3db8c8e7"
"3158ec416f4fba7de185ec9df8aae844","2015-11-04 00:00:00","Operations Division","North District","ND Middle Shift","","Call for Service","CPCO (Informal)","Citizen Interaction","Failure to Request a Supervisor When a Citizen Desires to Make a Complaint","Exonerated","Bi-Racial","Female","51","White","Male","25","1","Aa03cb945239192138d073ce3db8c8e7"
"cc945c9c6b8bf5a8c28f1bbbec3f04c8","2015-10-07 00:00:00","Operations Division","Downtown  District","DT Day Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Unfounded","Black","Male","","White","Male","49","24","2f6fd09828fae4456e5cdaa0ad60810d"
"cc945c9c6b8bf5a8c28f1bbbec3f04c8","2015-10-07 00:00:00","Operations Division","Downtown  District","DT Day Shift","","Investigation","CPCO (Formal)","Use of Force","Unreasonable Force (Hands, Fists, Feet)","Unfounded","Black","Male","","White","Male","49","24","2f6fd09828fae4456e5cdaa0ad60810d"
"cc945c9c6b8bf5a8c28f1bbbec3f04c8","2015-10-07 00:00:00","Operations Division","Downtown  District","DT Day Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Failure to Provide Name or Badge Number","Unfounded","Black","Male","","White","Male","49","24","2f6fd09828fae4456e5cdaa0ad60810d"
"cc945c9c6b8bf5a8c28f1bbbec3f04c8","2015-10-07 00:00:00","Operations Division","Downtown  District","DT Day Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Failure to Make a Report When Approached by a Citizen","Unfounded","Black","Male","","White","Male","49","24","2f6fd09828fae4456e5cdaa0ad60810d"
"cc945c9c6b8bf5a8c28f1bbbec3f04c8","2015-10-07 00:00:00","Operations Division","Downtown  District","DT Day Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Black","Male","","Black","Male","55","27","33fddceb7967991ead368771eaf58827"
"cc945c9c6b8bf5a8c28f1bbbec3f04c8","2015-10-07 00:00:00","Operations Division","Downtown  District","DT Day Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Failure to Provide Name or Badge Number","Sustained","Black","Male","","Black","Male","55","27","33fddceb7967991ead368771eaf58827"
"4198791e6e117fedfbfa21ebc739f5a7","2015-11-08 00:00:00","Operations Division","Southwest District","SW Late Shift","","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","White","Female","45","White","Female","33","5","9ad5468b4c5cf823c07243b7d4c482f7"
"4198791e6e117fedfbfa21ebc739f5a7","2015-11-08 00:00:00","Operations Division","Southwest District","SW Late Shift","","Investigation","CPCO (Formal)","Breach of Discipline","Conduct Detrimental to the Efficient Operation And/Or General Discipline of the Department","Not Sustained","White","Female","45","White","Female","33","5","9ad5468b4c5cf823c07243b7d4c482f7"
"799c339e3ed2e41e85fe0d8577639e61","2015-11-07 00:00:00","Office of the Chief","Public Information Office","Public Information/Community Affairs Sec","Public Information - Community Affairs","Not Applicable","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","","Unknown","Female","","Black","Male","40","9","D283aa3f479abd0e383459ce4611d1ec"
"799c339e3ed2e41e85fe0d8577639e61","2015-11-07 00:00:00","Office of the Chief","Public Information Office","Public Information/Community Affairs Sec","Public Information - Community Affairs","Not Applicable","CPCO (Informal)","Vehicle Operation","Misuse of Emergency Lights or Siren","","Unknown","Female","","Black","Male","40","9","D283aa3f479abd0e383459ce4611d1ec"
"6d2bc523c69de1b5079b8ac531313646","2015-09-16 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Traffic Enforcement Section","Traffic Enforcement Unit","Traffic Stop","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","White","Female","67","White","Male","51","29","F7281f3389884cf740b2f29484edbb7f"
"62467f255a2bc54e5bfb615306814550","2015-11-22 00:00:00","Operations Division","Northwest District","NW Middle Shift","","Traffic Stop","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Black","Male","27","White","Female","38","5","1b4f9b6935c2dd059425b3754ff9331f"
"9a942977556d68666263e3fc90cde039","2015-12-09 00:00:00","Reserves","Platoon 2","Squad 1","","Traffic Stop","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Unknown","Female","","","","","6","019db3ceee72c7fcde115c588d282562"
"9a942977556d68666263e3fc90cde039","2015-12-09 00:00:00","Reserves","Platoon 2","Squad 1","","Traffic Stop","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Not Sustained","Unknown","Female","","","","","6","019db3ceee72c7fcde115c588d282562"
"7e35e085c06d3eb03b318375fc15ac42","2015-12-08 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Traffic Enforcement Section","Traffic Enforcement Unit","Traffic Stop","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Unknown","Female","","White","Male","43","16","A17e27fdbcedb0fa2746ecb3f814ed61"
"4bf94a1c2bd7c21fbaa190f839adea5d","2015-12-07 00:00:00","Operations Division","North District","ND Late Shift","","Not Applicable","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Unfounded","Unknown","Male","","Black","Female","38","6","25e00b47948be1d8efe3ce4fbf2ce639"
"44f13649a7e3ad91774444118fd18fbc","2015-10-12 00:00:00","Operations Division","Northwest District","NW Late Shift","","Traffic Stop","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","White","Male","68","White","Male","27","1","5bb307ea3e8fef75960f3c3c47e1cada"
"44f13649a7e3ad91774444118fd18fbc","2015-10-12 00:00:00","Operations Division","Northwest District","NW Late Shift","","Traffic Stop","CPCO (Informal)","Substandard Performance","Members Shall Conform to Established Work Standards to Their Rank/Position.","Unfounded","White","Male","68","White","Male","52","30","8d80d038df0afa182c4c3f52de8db784"
"f852e2c9b9141f6129a263b4be46d940","2015-12-17 00:00:00","Operations Division","Northwest District","NW Middle Shift","","Traffic Stop","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Not Sustained","White","Male","","White","Male","30","5","9b685b191d4b4ab6ac8afaeec2aff027"
"d99f6efb0d3f2d2a27cbb46a9e613fc2","2015-12-27 00:00:00","Operations Division","Northwest District","NW Day Shift","NW Day Shift","Not Applicable","CPCO (Informal)","Vehicle Operation","Improper Parking","Sustained","White","Male","","White","Female","46","15","E38e12f14039622912974d32dd40cd23"
"d99f6efb0d3f2d2a27cbb46a9e613fc2","2015-12-27 00:00:00","Operations Division","Northwest District","NW Day Shift","NW Day Shift","Not Applicable","CPCO (Informal)","Neglect of Duty","Failure to Devote Full Attention to Duties","Sustained","White","Male","","White","Female","46","15","E38e12f14039622912974d32dd40cd23"
"363f8f9c1909217801044eced17ffbe2","2015-12-23 00:00:00","Reserves","Platoon 1","Squad 2","","Off-Duty Employment","CPCO (Informal)","Citizen Interaction","Failure to Provide Name or Badge Number","Exonerated","Black","Female","42","","Male","51","","59fded8d4d6464622720cb3f6137374e"
"363f8f9c1909217801044eced17ffbe2","2015-12-23 00:00:00","Reserves","Platoon 1","Squad 2","","Off-Duty Employment","CPCO (Informal)","Neglect of Duty","Failure to Take Required Action While Off Duty","Exonerated","Black","Female","42","","Male","51","","59fded8d4d6464622720cb3f6137374e"
"c9d7dcd04cfb53d1f48a5e436ef39f11","2015-12-29 00:00:00","Operations Division","East District","ED Day Shift","ED Day Shift","Call for Service","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Unfounded","Black","Female","41","White","Male","54","27","Ac0d53f63c9c0ac571924480934d9961"
"c9d7dcd04cfb53d1f48a5e436ef39f11","2015-12-29 00:00:00","Operations Division","East District","ED Day Shift","ED Day Shift","Call for Service","CPCO (Formal)","Citizen Interaction","Failure to Provide Name or Badge Number","Unfounded","Black","Female","41","White","Male","54","27","Ac0d53f63c9c0ac571924480934d9961"
"c9d7dcd04cfb53d1f48a5e436ef39f11","2015-12-29 00:00:00","Operations Division","East District","ED Day Shift","ED Day Shift","Call for Service","CPCO (Formal)","Citizen Interaction","Failure to Request a Supervisor When a Citizen Desires to Make a Complaint","Unfounded","Black","Female","41","White","Male","54","27","Ac0d53f63c9c0ac571924480934d9961"
"cdd0847b6d1c2b2dd99bbcc591199a0b","2016-01-03 00:00:00","Operations Division","Southwest District","SW Late Shift","","Call for Service","CPCO (Informal)","Citizen Interaction","Failure to Provide Name or Badge Number","Exonerated","White","Female","","White","Male","36","12","Aa227942440e456a0b59a68872b9f23c"
"cdd0847b6d1c2b2dd99bbcc591199a0b","2016-01-03 00:00:00","Operations Division","Southwest District","SW Late Shift","","Call for Service","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","White","Female","","White","Male","36","12","Aa227942440e456a0b59a68872b9f23c"
"bcbb4774d6710da5b573b84a8c627525","2015-12-19 00:00:00","Criminal Investigation Division","Homicide and Robbery","Robbery/Agg Assault Section","Robbery/Agg Assault Unit (Late)","Investigation","CPCO (Formal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Black","Female","27","White","Male","35","6","680f1e83dd73bb771265cc0e458b2e31"
"bcbb4774d6710da5b573b84a8c627525","2015-12-19 00:00:00","Criminal Investigation Division","Homicide and Robbery","Robbery/Agg Assault Section","Robbery/Agg Assault Unit (Late)","Investigation","CPCO (Formal)","Citizen Interaction","Intimidation/Improper Display of Police Authority","Not Sustained","Black","Female","27","White","Male","35","6","680f1e83dd73bb771265cc0e458b2e31"
"d40d2915888bfdb4f8b102563c5c8b8c","2015-11-23 00:00:00","Administration Division","Training Bureau","FTO Section","","Call for Service","CPCO (Formal)","Citizen Interaction","Failure to Make a Report When Approached by a Citizen","","White","Female","55","White","Male","49","11","20881217d47ab4626089bd5548e35137"
"d40d2915888bfdb4f8b102563c5c8b8c","2015-11-23 00:00:00","Administration Division","Training Bureau","FTO Section","","Call for Service","CPCO (Formal)","Citizen Interaction","Failure to Make a Report When Approached by a Citizen","Exonerated","White","Female","55","White","Male","25","","C6c9090a0c0958553ccf391c9d5bdb8c"
"546a34167ad7815df4d1c9f855944dd3","2016-01-06 00:00:00","Criminal Investigation Division","Covert Investigations","Criminal Interdiction Section","Criminal Interdiction Unit","Investigation","CPCO (Formal)","Breach of Discipline","Conduct Detrimental to the Efficient Operation And/Or General Discipline of the Department","","Black","Male","33","White","Male","46","21","Efc7c26f002dc9255093cccb72198893"
